X1,Y1
0.27618095,-2.21704726
7.92736799,-9.7615272
8.49142837,-2.54974889
-11.53710206,2.43488287
4.29225906,-8.99220442
0.91143288,-2.63851693
7.29885085,-9.90563956
0.51662159,-0.75118594
-7.73194181,1.50603664
1.20824166,-1.89369549
7.73046665,-4.72901672
-7.18070848,1.10479304
1.06868463,0.05307861
-9.03128326,1.37286811
7.38575675,-1.02379608
-8.80018267,0.82821393
8.21201164,-1.54781358
8.21597398,-2.28672255
-6.47668488,3.00069462
8.71445065,-2.41730491
6.3883927,-9.25691447
0.51217623,-2.07241713
7.27059007,-4.84225716
7.4816983,-2.96403632
-7.39446546,1.59157872
5.45644482,-8.99900075
6.6008728,-8.07144707
-0.87070614,-0.04974727
0.40868979,-3.11024352
8.98426675,-4.87449712
-7.18960883,1.42866565
1.16490065,-2.428817
5.88397542,-8.37284513
5.73005848,-4.19481136
-8.4001229,1.52713041
6.26221548,-8.43925752
1.00991059,-1.99722822
-0.85358068,-4.33078222
7.93333064,-3.51553205
0.27268827,-0.35774806
-6.44628494,2.28574933
-8.33131201,3.26397914
-7.79531546,1.68145403
6.40500112,-7.50322463
-0.22353872,-1.48513774
10.48848359,-2.75858164
-7.20356496,1.45314624
-7.69417863,0.26842069
5.94709536,-9.05353781
7.89359985,-7.41655113
7.37578372,-8.7241701
6.85086785,-9.92422452
8.32932478,-8.47191434
7.97164446,-3.38236058
7.52132141,-2.12266605
-7.75606944,2.17130787
0.53625464,-2.19233972
7.29573215,-4.39392379
9.07568367,-4.21790533
1.71204102,-0.82974817
9.42169269,-2.6476988
1.37897763,-2.11726997
-8.51040029,1.4673048
-0.62622847,-0.80103883
6.94752781,-9.75794397
-5.50783217,1.58771842
7.67619643,-2.82620437
-9.0482178,2.79269402
0.67044498,0.40690892
8.68185687,-4.53683537
-8.16135823,1.75606571
7.39169472,-3.1266933
9.49649411,-3.7902975
6.54118443,-9.84832481
-8.29211048,1.75908206
6.50072722,-3.82403586
0.09208026,-0.5713415
-8.84228623,1.78691412
-8.83159433,1.69041431
7.07705089,-2.4047943
6.95292352,-8.22624269
4.51056131,-9.3059698
-0.34908156,-0.53256496
-7.90648396,2.09520962
1.11324195,-0.69499407
-7.49149584,0.2021217
6.45519089,-9.46356669
9.24223825,-3.88003098
6.77811308,-9.80940478
4.29810787,-8.41461865
-7.5599871,1.95290098
0.87486405,-2.05139156
1.08463136,-0.5535417
7.9683312,-3.23125265
1.28884035,-0.6625181
1.43282209,-3.00194581
